#Base	%GC
1	46.70716803355063
2	44.040310366206576
3	44.00040077300699
4	46.19094581710903
5	45.773076228473
6	46.76012111164772
7	46.56518444354521
8	45.572581913014524
9	46.04128417870426
10-14	46.29610787719729
15-19	46.38557928688221
20-24	46.571876693173664
25-29	46.699740418686964
30-34	46.88421138440548
35-39	46.89092535786366
40-44	46.97541455096948
45-49	47.002799487219086
50-54	47.01299199167651
55-59	47.01143762447403
60-64	47.07821314383119
65-69	47.009183954817644
70-74	47.05145592445804
75-79	47.058999275619236
80-84	47.053337050612825
85-89	47.04421431187287
90	47.121269038746405
