#Quality	Count
2	448461.0
3	63183.0
4	75485.0
5	78220.0
6	77567.0
7	75645.0
8	77510.0
9	79355.0
10	84936.0
11	92173.0
12	97595.0
13	100046.0
14	98182.0
15	97647.0
16	101304.0
17	105590.0
18	112276.0
19	117807.0
20	122908.0
21	129272.0
22	139467.0
23	156203.0
24	173582.0
25	198454.0
26	229635.0
27	268220.0
28	316263.0
29	377731.0
30	457573.0
31	562623.0
32	715957.0
33	948515.0
34	1393389.0
35	2465554.0
36	5251610.0
37	9104881.0
38	1.0325307E7
39	6138517.0
40	280695.0
